dag_id,num_A_fi_gj,num_A_fj_gi,num_X_fi,num_X_fj,num_2D_arrays,num_1D_arrays,par_i,par_j,problem_size,num_nodes,num_edges,avg_degree,num_roots,num_leaves,depth,num_true_deps,num_anti_deps,num_output_deps,density
19,13,0,8,6,13,14,1,0,1024,9,18,4.0,2,2,5,7,9,2,0.25
20,9,0,8,7,9,15,1,0,1024,8,16,4.0,1,1,6,8,5,3,0.2857142857142857
21,9,0,9,3,9,12,1,0,1024,7,14,4.0,1,1,7,7,3,4,0.3333333333333333
22,14,0,6,1,14,7,1,0,1024,7,14,4.0,2,1,6,3,4,7,0.3333333333333333
23,13,0,6,5,13,11,1,0,1024,8,16,4.0,3,1,4,4,6,6,0.2857142857142857
24,7,0,11,0,7,11,1,0,1024,6,12,4.0,1,1,6,4,5,3,0.4
25,11,0,9,7,11,16,1,0,1024,9,18,4.0,1,2,8,6,8,4,0.25
26,17,0,8,5,17,13,1,0,1024,10,20,4.0,4,1,7,7,8,5,0.2222222222222222
27,8,0,6,4,8,10,1,0,1024,6,12,4.0,2,1,5,4,4,4,0.4
28,10,0,8,3,10,11,1,0,1024,7,14,4.0,1,1,7,4,4,6,0.3333333333333333
29,12,0,3,3,12,6,1,0,1024,6,12,4.0,1,1,5,3,5,4,0.4
30,10,0,9,2,10,11,1,0,1024,7,14,4.0,3,1,4,4,4,6,0.3333333333333333
31,17,0,3,4,17,7,1,0,1024,8,16,4.0,3,1,6,6,7,3,0.2857142857142857
32,11,0,6,4,11,10,1,0,1024,7,14,4.0,3,1,5,4,2,8,0.3333333333333333
33,9,0,7,5,9,12,1,0,1024,7,14,4.0,2,1,6,7,2,5,0.3333333333333333
34,15,0,6,3,15,9,1,0,1024,8,16,4.0,3,1,6,6,7,3,0.2857142857142857
35,13,0,5,3,13,8,1,0,1024,7,14,4.0,3,1,4,6,5,3,0.3333333333333333
36,12,0,6,3,12,9,1,0,1024,7,14,4.0,1,1,6,4,6,4,0.3333333333333333
37,12,0,4,2,12,6,1,0,1024,6,12,4.0,1,1,6,4,3,5,0.4
38,6,0,6,6,6,12,1,0,1024,6,12,4.0,1,1,6,2,4,6,0.4
39,17,0,11,2,17,13,1,0,1024,10,20,4.0,4,1,6,1,9,10,0.2222222222222222
40,15,0,4,5,15,9,1,0,1024,8,16,4.0,1,1,6,6,5,5,0.2857142857142857
41,9,0,7,2,9,9,1,0,1024,6,12,4.0,1,1,5,4,3,5,0.4
42,15,0,8,4,15,12,1,0,1024,9,18,4.0,2,1,8,4,9,5,0.25
43,7,0,12,2,7,14,1,0,1024,7,14,4.0,2,1,6,6,4,4,0.3333333333333333
44,10,0,9,5,10,14,1,0,1024,8,16,4.0,2,1,6,7,6,3,0.2857142857142857
45,11,0,10,3,11,13,1,0,1024,8,16,4.0,2,1,6,7,6,3,0.2857142857142857
46,15,0,9,6,15,15,1,0,1024,10,20,4.0,2,2,6,5,9,6,0.2222222222222222
47,17,0,11,2,17,13,1,0,1024,10,20,4.0,4,1,6,6,11,3,0.2222222222222222
48,10,0,7,1,10,8,1,0,1024,6,12,4.0,1,1,6,3,4,5,0.4
49,21,0,7,2,21,9,1,0,1024,10,20,4.0,2,1,7,9,4,7,0.2222222222222222
50,15,0,8,4,15,12,1,0,1024,9,18,4.0,4,1,5,6,8,4,0.25
51,10,0,11,6,10,17,1,0,1024,9,18,4.0,2,1,6,6,2,10,0.25
52,11,0,9,1,11,10,1,0,1024,7,14,4.0,2,1,5,6,3,5,0.3333333333333333
53,9,0,9,3,9,12,1,0,1024,7,14,4.0,3,1,5,5,8,1,0.3333333333333333
54,9,0,8,4,9,12,1,0,1024,7,14,4.0,2,1,6,4,5,5,0.3333333333333333
55,17,0,12,1,17,13,1,0,1024,10,20,4.0,1,1,8,7,10,3,0.2222222222222222
56,12,0,8,7,12,15,1,0,1024,9,18,4.0,3,1,6,6,6,6,0.25
57,7,0,7,4,7,11,1,0,1024,6,12,4.0,1,1,6,4,4,4,0.4
58,14,0,8,5,14,13,1,0,1024,9,18,4.0,3,1,6,5,8,5,0.25
59,11,0,8,5,11,13,1,0,1024,8,16,4.0,2,1,7,6,5,5,0.2857142857142857
60,14,0,7,6,14,13,1,0,1024,9,18,4.0,3,1,7,6,4,8,0.25
61,11,0,4,3,11,7,1,0,1024,6,12,4.0,1,1,6,5,3,4,0.4
62,11,0,4,3,11,7,1,0,1024,6,12,4.0,1,1,5,2,8,2,0.4
63,14,0,5,5,14,10,1,0,1024,8,16,4.0,3,1,5,7,5,4,0.2857142857142857
64,11,0,8,2,11,10,1,0,1024,7,14,4.0,2,1,6,6,5,3,0.3333333333333333
65,8,0,8,5,8,13,1,0,1024,7,14,4.0,1,2,5,1,3,10,0.3333333333333333
66,10,0,10,4,10,14,1,0,1024,8,16,4.0,2,1,6,6,6,4,0.2857142857142857
67,6,0,12,0,6,12,1,0,1024,6,12,4.0,2,1,5,4,1,7,0.4
68,13,0,5,3,13,8,1,0,1024,7,14,4.0,2,1,5,4,6,4,0.3333333333333333
69,11,0,9,4,11,13,1,0,1024,8,16,4.0,3,1,6,5,5,6,0.2857142857142857
70,11,0,3,4,11,7,1,0,1024,6,12,4.0,1,1,6,3,5,4,0.4
71,8,0,7,6,8,13,1,0,1024,7,14,4.0,3,1,5,5,1,8,0.3333333333333333
72,9,0,9,3,9,12,1,0,1024,7,14,4.0,1,1,7,7,5,2,0.3333333333333333
73,12,0,10,5,12,15,1,0,1024,9,18,4.0,2,1,5,4,9,5,0.25
74,12,0,11,7,12,18,1,0,1024,10,20,4.0,1,1,7,7,4,9,0.2222222222222222
75,14,0,7,0,14,7,1,0,1024,7,14,4.0,2,1,5,5,4,5,0.3333333333333333
76,10,0,6,2,10,8,1,0,1024,6,12,4.0,1,1,6,3,7,2,0.4
77,13,0,9,8,13,17,1,0,1024,10,20,4.0,1,1,8,8,4,8,0.2222222222222222
78,9,0,5,7,9,12,1,0,1024,7,14,4.0,1,1,6,1,8,5,0.3333333333333333
79,6,0,7,5,6,12,1,0,1024,6,12,4.0,1,1,5,1,6,5,0.4
80,9,0,8,1,9,9,1,0,1024,6,12,4.0,2,1,5,0,4,8,0.4
81,11,0,5,2,11,7,1,0,1024,6,12,4.0,2,1,5,5,3,4,0.4
82,9,0,11,4,9,15,1,0,1024,8,16,4.0,3,1,6,6,4,6,0.2857142857142857
83,17,0,9,1,17,10,1,0,1024,9,18,4.0,2,1,7,8,5,5,0.25
84,12,0,8,4,12,12,1,0,1024,8,16,4.0,3,1,6,5,4,7,0.2857142857142857
85,11,0,12,1,11,13,1,0,1024,8,16,4.0,1,1,6,3,6,7,0.2857142857142857
86,10,0,6,5,10,11,1,0,1024,7,14,4.0,2,1,6,7,5,2,0.3333333333333333
87,13,0,6,2,13,8,1,0,1024,7,14,4.0,2,1,5,5,5,4,0.3333333333333333
88,7,0,7,4,7,11,1,0,1024,6,12,4.0,1,1,5,2,5,5,0.4
89,7,0,8,3,7,11,1,0,1024,6,12,4.0,2,1,5,6,3,3,0.4
90,10,0,5,3,10,8,1,0,1024,6,12,4.0,1,1,5,3,5,4,0.4
91,19,0,6,5,19,11,1,0,1024,10,20,4.0,3,2,5,6,6,8,0.2222222222222222
92,10,0,7,4,10,11,1,0,1024,7,14,4.0,1,1,5,7,5,2,0.3333333333333333
93,13,0,12,5,13,17,1,0,1024,10,20,4.0,2,1,7,9,7,4,0.2222222222222222
94,9,0,8,4,9,12,1,0,1024,7,14,4.0,3,1,5,2,6,6,0.3333333333333333
95,9,0,11,4,9,15,1,0,1024,8,16,4.0,3,1,6,5,5,6,0.2857142857142857
96,12,0,6,0,12,6,1,0,1024,6,12,4.0,2,1,5,1,5,6,0.4
97,15,0,6,3,15,9,1,0,1024,8,16,4.0,2,1,6,3,3,10,0.2857142857142857
98,13,0,10,7,13,17,1,0,1024,10,20,4.0,2,1,7,7,5,8,0.2222222222222222
99,12,0,9,3,12,12,1,0,1024,8,16,4.0,1,1,8,6,7,3,0.2857142857142857
100,8,0,15,1,8,16,1,0,1024,8,16,4.0,3,1,6,6,4,6,0.2857142857142857
101,10,0,9,8,10,17,1,0,1024,9,18,4.0,4,1,5,5,7,6,0.25
102,12,0,7,5,12,12,1,0,1024,8,16,4.0,1,1,6,5,4,7,0.2857142857142857
103,8,0,7,3,8,10,1,0,1024,6,12,4.0,2,1,5,6,3,3,0.4
104,14,0,6,4,14,10,1,0,1024,8,16,4.0,2,1,5,7,3,6,0.2857142857142857
105,12,0,6,3,12,9,1,0,1024,7,14,4.0,2,1,5,8,1,5,0.3333333333333333
106,11,0,12,4,11,16,1,0,1024,9,18,4.0,3,1,4,6,2,10,0.25
107,13,0,13,4,13,17,1,0,1024,10,20,4.0,3,3,5,8,9,3,0.2222222222222222
108,12,0,11,1,12,12,1,0,1024,8,16,4.0,3,1,6,2,6,8,0.2857142857142857
109,12,0,3,6,12,9,1,0,1024,7,14,4.0,1,1,6,4,7,3,0.3333333333333333
110,10,0,6,5,10,11,1,0,1024,7,14,4.0,3,1,5,4,3,7,0.3333333333333333
111,9,0,6,3,9,9,1,0,1024,6,12,4.0,1,1,5,3,7,2,0.4
112,14,0,11,5,14,16,1,0,1024,10,20,4.0,2,1,6,9,7,4,0.2222222222222222
113,16,0,6,5,16,11,1,0,1024,9,18,4.0,2,1,6,8,6,4,0.25
114,10,0,8,6,10,14,1,0,1024,8,16,4.0,3,1,5,7,5,4,0.2857142857142857
115,15,0,9,0,15,9,1,0,1024,8,16,4.0,2,1,6,8,5,3,0.2857142857142857
116,14,0,6,1,14,7,1,0,1024,7,14,4.0,2,1,5,2,4,8,0.3333333333333333
117,14,0,12,4,14,16,1,0,1024,10,20,4.0,4,2,6,8,5,7,0.2222222222222222
118,8,0,8,5,8,13,1,0,1024,7,14,4.0,1,1,7,7,4,3,0.3333333333333333
119,7,0,9,2,7,11,1,0,1024,6,12,4.0,1,1,6,2,6,4,0.4
120,14,0,9,4,14,13,1,0,1024,9,18,4.0,2,1,6,10,4,4,0.25
121,15,0,6,3,15,9,1,0,1024,8,16,4.0,2,1,6,5,9,2,0.2857142857142857
122,6,0,9,3,6,12,1,0,1024,6,12,4.0,1,1,6,2,5,5,0.4
123,7,0,10,4,7,14,1,0,1024,7,14,4.0,2,1,5,4,4,6,0.3333333333333333
124,13,0,12,5,13,17,1,0,1024,10,20,4.0,2,2,7,2,12,6,0.2222222222222222
125,9,0,16,5,9,21,1,0,1024,10,20,4.0,2,1,7,8,5,7,0.2222222222222222
126,7,0,6,5,7,11,1,0,1024,6,12,4.0,1,1,5,4,3,5,0.4
127,12,0,4,5,12,9,1,0,1024,7,14,4.0,2,1,5,2,6,6,0.3333333333333333
128,13,0,12,5,13,17,1,0,1024,10,20,4.0,1,1,8,7,5,8,0.2222222222222222
129,15,0,12,3,15,15,1,0,1024,10,20,4.0,2,2,8,5,8,7,0.2222222222222222
130,8,0,7,3,8,10,1,0,1024,6,12,4.0,1,1,5,3,3,6,0.4
131,9,0,5,4,9,9,1,0,1024,6,12,4.0,1,1,6,1,7,4,0.4
132,8,0,7,3,8,10,1,0,1024,6,12,4.0,2,1,5,5,3,4,0.4
133,8,0,4,6,8,10,1,0,1024,6,12,4.0,1,1,5,4,4,4,0.4
134,8,0,7,3,8,10,1,0,1024,6,12,4.0,1,1,6,4,3,5,0.4
135,9,0,7,8,9,15,1,0,1024,8,16,4.0,2,1,6,10,1,5,0.2857142857142857
136,8,0,7,3,8,10,1,0,1024,6,12,4.0,2,1,5,3,5,4,0.4
137,11,0,6,4,11,10,1,0,1024,7,14,4.0,2,1,6,3,5,6,0.3333333333333333
138,19,0,11,0,19,11,1,0,1024,10,20,4.0,3,1,7,7,5,8,0.2222222222222222
139,13,0,6,2,13,8,1,0,1024,7,14,4.0,2,1,6,3,6,5,0.3333333333333333
140,14,0,8,5,14,13,1,0,1024,9,18,4.0,4,1,5,9,8,1,0.25
141,19,0,6,5,19,11,1,0,1024,10,20,4.0,2,1,8,8,6,6,0.2222222222222222
142,10,0,8,3,10,11,1,0,1024,7,14,4.0,2,1,6,4,7,3,0.3333333333333333
143,14,0,6,4,14,10,1,0,1024,8,16,4.0,1,1,6,7,7,2,0.2857142857142857
144,13,0,12,5,13,17,1,0,1024,10,20,4.0,4,1,5,5,9,6,0.2222222222222222
145,11,0,11,2,11,13,1,0,1024,8,16,4.0,1,1,6,5,6,5,0.2857142857142857
146,14,0,3,4,14,7,1,0,1024,7,14,4.0,2,1,6,5,4,5,0.3333333333333333
147,11,0,7,6,11,13,1,0,1024,8,16,4.0,1,1,6,8,3,5,0.2857142857142857
148,15,0,9,0,15,9,1,0,1024,8,16,4.0,1,1,6,5,5,6,0.2857142857142857
149,12,0,5,4,12,9,1,0,1024,7,14,4.0,2,1,5,3,5,6,0.3333333333333333
150,11,0,8,2,11,10,1,0,1024,7,14,4.0,2,1,6,3,6,5,0.3333333333333333
151,12,0,7,8,12,15,1,0,1024,9,18,4.0,2,1,6,8,4,6,0.25
152,15,0,6,3,15,9,1,0,1024,8,16,4.0,2,1,6,4,2,10,0.2857142857142857
153,13,0,12,2,13,14,1,0,1024,9,18,4.0,2,2,5,8,3,7,0.25
154,17,0,10,3,17,13,1,0,1024,10,20,4.0,4,1,5,5,10,5,0.2222222222222222
155,15,0,3,6,15,9,1,0,1024,8,16,4.0,1,1,7,7,7,2,0.2857142857142857
156,13,0,7,4,13,11,1,0,1024,8,16,4.0,1,1,6,4,9,3,0.2857142857142857
157,15,0,7,5,15,12,1,0,1024,9,18,4.0,2,1,7,4,6,8,0.25
158,7,0,10,4,7,14,1,0,1024,7,14,4.0,2,1,5,6,4,4,0.3333333333333333
159,14,0,9,1,14,10,1,0,1024,8,16,4.0,2,1,6,6,4,6,0.2857142857142857
160,9,0,8,4,9,12,1,0,1024,7,14,4.0,2,1,5,5,4,5,0.3333333333333333
161,7,0,9,2,7,11,1,0,1024,6,12,4.0,2,1,5,5,3,4,0.4
162,12,0,3,3,12,6,1,0,1024,6,12,4.0,1,1,6,3,3,6,0.4
163,7,0,8,3,7,11,1,0,1024,6,12,4.0,2,1,5,7,1,4,0.4
164,8,0,10,6,8,16,1,0,1024,8,16,4.0,1,1,8,3,5,8,0.2857142857142857
165,13,0,5,9,13,14,1,0,1024,9,18,4.0,4,1,6,10,4,4,0.25
166,11,0,6,10,11,16,1,0,1024,9,18,4.0,2,1,7,9,4,5,0.25
167,21,0,5,4,21,9,1,0,1024,10,20,4.0,3,1,7,10,5,5,0.2222222222222222
168,15,0,7,5,15,12,1,0,1024,9,18,4.0,3,1,5,9,5,4,0.25
169,9,0,14,7,9,21,1,0,1024,10,20,4.0,2,2,7,7,7,6,0.2222222222222222
170,10,0,5,6,10,11,1,0,1024,7,14,4.0,2,1,5,3,3,8,0.3333333333333333
171,16,0,6,8,16,14,1,0,1024,10,20,4.0,3,1,6,4,13,3,0.2222222222222222
172,7,0,9,2,7,11,1,0,1024,6,12,4.0,1,1,6,7,1,4,0.4
173,11,0,6,7,11,13,1,0,1024,8,16,4.0,2,1,5,3,5,8,0.2857142857142857
174,13,0,6,2,13,8,1,0,1024,7,14,4.0,2,1,5,4,1,9,0.3333333333333333
175,19,0,9,2,19,11,1,0,1024,10,20,4.0,2,2,6,6,6,8,0.2222222222222222
176,14,0,6,4,14,10,1,0,1024,8,16,4.0,3,1,6,4,7,5,0.2857142857142857
177,12,0,10,8,12,18,1,0,1024,10,20,4.0,3,1,7,6,9,5,0.2222222222222222
178,14,0,1,3,14,4,1,0,1024,6,12,4.0,1,1,5,4,3,5,0.4
179,9,0,11,1,9,12,1,0,1024,7,14,4.0,2,1,5,7,4,3,0.3333333333333333
180,11,0,8,11,11,19,1,0,1024,10,20,4.0,3,1,7,7,6,7,0.2222222222222222
181,9,0,6,6,9,12,1,0,1024,7,14,4.0,1,1,6,4,4,6,0.3333333333333333
182,10,0,13,4,10,17,1,0,1024,9,18,4.0,2,1,6,5,6,7,0.25
183,11,0,8,2,11,10,1,0,1024,7,14,4.0,2,1,5,4,4,6,0.3333333333333333
184,18,0,7,5,18,12,1,0,1024,10,20,4.0,2,1,7,6,10,4,0.2222222222222222
185,15,0,8,4,15,12,1,0,1024,9,18,4.0,3,1,7,6,8,4,0.25
186,19,0,5,6,19,11,1,0,1024,10,20,4.0,2,2,7,1,13,6,0.2222222222222222
187,9,0,11,1,9,12,1,0,1024,7,14,4.0,2,1,5,3,5,6,0.3333333333333333
188,12,0,6,6,12,12,1,0,1024,8,16,4.0,2,1,5,5,6,5,0.2857142857142857
189,12,0,11,4,12,15,1,0,1024,9,18,4.0,2,1,6,7,3,8,0.25
190,14,0,7,3,14,10,1,0,1024,8,16,4.0,2,1,5,2,5,9,0.2857142857142857
191,10,0,6,5,10,11,1,0,1024,7,14,4.0,1,1,6,4,6,4,0.3333333333333333
192,12,0,3,3,12,6,1,0,1024,6,12,4.0,1,1,6,3,5,4,0.4
193,9,0,10,5,9,15,1,0,1024,8,16,4.0,2,2,6,7,3,6,0.2857142857142857
194,16,0,7,1,16,8,1,0,1024,8,16,4.0,2,1,5,4,7,5,0.2857142857142857
195,17,0,8,2,17,10,1,0,1024,9,18,4.0,1,2,7,6,6,6,0.25
196,15,0,13,2,15,15,1,0,1024,10,20,4.0,3,2,6,5,8,7,0.2222222222222222
197,18,0,6,3,18,9,1,0,1024,9,18,4.0,3,1,5,5,5,8,0.25
198,12,0,12,3,12,15,1,0,1024,9,18,4.0,3,1,6,6,3,9,0.25
199,12,0,10,8,12,18,1,0,1024,10,20,4.0,2,2,7,7,6,7,0.2222222222222222
200,14,0,7,6,14,13,1,0,1024,9,18,4.0,3,1,6,6,6,6,0.25
201,10,0,12,2,10,14,1,0,1024,8,16,4.0,2,1,5,6,4,6,0.2857142857142857
202,14,0,2,2,14,4,1,0,1024,6,12,4.0,1,1,6,4,2,6,0.4
203,11,0,9,4,11,13,1,0,1024,8,16,4.0,3,1,6,8,3,5,0.2857142857142857
204,8,0,6,4,8,10,1,0,1024,6,12,4.0,1,1,6,4,5,3,0.4
205,8,0,11,2,8,13,1,0,1024,7,14,4.0,1,1,6,2,6,6,0.3333333333333333
206,14,0,8,5,14,13,1,0,1024,9,18,4.0,2,2,5,5,2,11,0.25
207,12,0,4,5,12,9,1,0,1024,7,14,4.0,2,1,5,1,9,4,0.3333333333333333
208,14,0,6,1,14,7,1,0,1024,7,14,4.0,2,1,6,6,5,3,0.3333333333333333
209,15,0,7,5,15,12,1,0,1024,9,18,4.0,3,1,7,8,8,2,0.25
210,10,0,7,4,10,11,1,0,1024,7,14,4.0,1,1,7,1,7,6,0.3333333333333333
211,10,0,9,5,10,14,1,0,1024,8,16,4.0,1,1,6,5,3,8,0.2857142857142857
212,8,0,4,6,8,10,1,0,1024,6,12,4.0,1,1,5,5,4,3,0.4
213,12,0,9,3,12,12,1,0,1024,8,16,4.0,2,1,6,2,7,7,0.2857142857142857
214,12,0,5,4,12,9,1,0,1024,7,14,4.0,2,1,5,7,5,2,0.3333333333333333
215,12,0,8,4,12,12,1,0,1024,8,16,4.0,2,1,6,4,7,5,0.2857142857142857
216,18,0,4,5,18,9,1,0,1024,9,18,4.0,1,1,7,9,3,6,0.25
217,21,0,6,3,21,9,1,0,1024,10,20,4.0,3,1,6,9,5,6,0.2222222222222222
218,9,0,15,3,9,18,1,0,1024,9,18,4.0,1,2,7,10,5,3,0.25
219,13,0,9,2,13,11,1,0,1024,8,16,4.0,1,2,7,9,3,4,0.2857142857142857
220,9,0,9,3,9,12,1,0,1024,7,14,4.0,2,1,5,3,7,4,0.3333333333333333
221,13,0,8,3,13,11,1,0,1024,8,16,4.0,2,1,6,3,11,2,0.2857142857142857
222,14,0,8,2,14,10,1,0,1024,8,16,4.0,3,1,4,6,5,5,0.2857142857142857
223,11,0,7,3,11,10,1,0,1024,7,14,4.0,2,2,5,4,3,7,0.3333333333333333
224,7,0,6,5,7,11,1,0,1024,6,12,4.0,1,1,5,2,7,3,0.4
225,6,0,9,6,6,15,1,0,1024,7,14,4.0,2,1,6,4,5,5,0.3333333333333333
226,12,0,6,6,12,12,1,0,1024,8,16,4.0,3,3,5,7,3,6,0.2857142857142857
227,5,0,11,2,5,13,1,0,1024,6,12,4.0,1,1,5,5,6,1,0.4
228,11,0,11,5,11,16,1,0,1024,9,18,4.0,2,1,8,4,5,9,0.25
229,4,0,11,3,4,14,1,0,1024,6,12,4.0,1,1,5,4,5,3,0.4
230,11,0,5,5,11,10,1,0,1024,7,14,4.0,1,1,6,1,8,5,0.3333333333333333
231,10,0,14,6,10,20,1,0,1024,10,20,4.0,2,1,7,5,7,8,0.2222222222222222
232,19,0,9,2,19,11,1,0,1024,10,20,4.0,1,1,9,4,5,11,0.2222222222222222
233,16,0,10,4,16,14,1,0,1024,10,20,4.0,2,1,6,9,6,5,0.2222222222222222
234,12,0,6,6,12,12,1,0,1024,8,16,4.0,2,2,6,8,5,3,0.2857142857142857
235,12,0,4,5,12,9,1,0,1024,7,14,4.0,3,1,5,7,1,6,0.3333333333333333
236,12,0,5,1,12,6,1,0,1024,6,12,4.0,1,1,5,3,3,6,0.4
237,8,0,6,7,8,13,1,0,1024,7,14,4.0,1,1,6,5,4,5,0.3333333333333333
238,11,0,17,2,11,19,1,0,1024,10,20,4.0,2,1,6,10,5,5,0.2222222222222222
239,9,0,7,2,9,9,1,0,1024,6,12,4.0,1,1,4,4,5,3,0.4
240,6,0,10,2,6,12,1,0,1024,6,12,4.0,1,1,5,3,5,4,0.4
241,9,0,4,5,9,9,1,0,1024,6,12,4.0,1,1,5,3,6,3,0.4
242,11,0,7,3,11,10,1,0,1024,7,14,4.0,2,1,6,6,2,6,0.3333333333333333
243,16,0,8,3,16,11,1,0,1024,9,18,4.0,3,2,6,9,4,5,0.25
244,11,0,6,4,11,10,1,0,1024,7,14,4.0,2,1,5,5,1,8,0.3333333333333333
245,11,0,7,6,11,13,1,0,1024,8,16,4.0,3,1,4,7,4,5,0.2857142857142857
246,10,0,10,7,10,17,1,0,1024,9,18,4.0,2,1,7,6,6,6,0.25
247,15,0,8,7,15,15,1,0,1024,10,20,4.0,3,1,8,6,10,4,0.2222222222222222
248,16,0,9,2,16,11,1,0,1024,9,18,4.0,4,1,4,7,5,6,0.25
249,10,0,9,2,10,11,1,0,1024,7,14,4.0,3,1,4,7,4,3,0.3333333333333333
250,13,0,12,5,13,17,1,0,1024,10,20,4.0,2,1,7,4,9,7,0.2222222222222222
251,12,0,7,5,12,12,1,0,1024,8,16,4.0,2,1,5,5,3,8,0.2857142857142857
252,14,0,5,5,14,10,1,0,1024,8,16,4.0,1,1,6,7,6,3,0.2857142857142857
253,15,0,9,6,15,15,1,0,1024,10,20,4.0,3,1,7,3,13,4,0.2222222222222222
254,8,0,9,7,8,16,1,0,1024,8,16,4.0,2,2,5,5,4,7,0.2857142857142857
255,15,0,7,2,15,9,1,0,1024,8,16,4.0,2,1,7,4,6,6,0.2857142857142857
256,7,0,5,6,7,11,1,0,1024,6,12,4.0,1,1,6,5,3,4,0.4
257,18,0,5,7,18,12,1,0,1024,10,20,4.0,4,2,5,8,6,6,0.2222222222222222
258,10,0,10,7,10,17,1,0,1024,9,18,4.0,4,2,5,5,4,9,0.25
259,11,0,7,3,11,10,1,0,1024,7,14,4.0,1,1,6,4,6,4,0.3333333333333333
260,15,0,10,2,15,12,1,0,1024,9,18,4.0,2,2,6,4,9,5,0.25
261,11,0,11,5,11,16,1,0,1024,9,18,4.0,3,2,6,9,4,5,0.25
262,14,0,8,5,14,13,1,0,1024,9,18,4.0,2,1,7,7,6,5,0.25
263,11,0,11,5,11,16,1,0,1024,9,18,4.0,1,2,7,5,5,8,0.25
264,11,0,7,3,11,10,1,0,1024,7,14,4.0,2,1,5,5,3,6,0.3333333333333333
265,12,0,13,2,12,15,1,0,1024,9,18,4.0,2,2,6,6,7,5,0.25
266,16,0,2,3,16,5,1,0,1024,7,14,4.0,2,1,5,5,2,7,0.3333333333333333
267,12,0,8,1,12,9,1,0,1024,7,14,4.0,2,2,6,2,4,8,0.3333333333333333
268,5,0,12,4,5,16,1,0,1024,7,14,4.0,1,1,6,7,1,6,0.3333333333333333
269,17,0,11,2,17,13,1,0,1024,10,20,4.0,3,1,7,8,7,5,0.2222222222222222
270,11,0,7,0,11,7,1,0,1024,6,12,4.0,1,1,6,3,6,3,0.4
271,16,0,12,2,16,14,1,0,1024,10,20,4.0,1,1,7,11,5,4,0.2222222222222222
272,13,0,7,4,13,11,1,0,1024,8,16,4.0,2,1,7,4,7,5,0.2857142857142857
273,10,0,5,3,10,8,1,0,1024,6,12,4.0,1,1,5,2,7,3,0.4
274,10,0,12,8,10,20,1,0,1024,10,20,4.0,3,1,7,9,7,4,0.2222222222222222
275,15,0,10,2,15,12,1,0,1024,9,18,4.0,3,1,7,5,9,4,0.25
276,16,0,9,5,16,14,1,0,1024,10,20,4.0,1,2,9,3,10,7,0.2222222222222222
277,9,0,8,4,9,12,1,0,1024,7,14,4.0,1,1,6,6,7,1,0.3333333333333333
278,6,0,8,4,6,12,1,0,1024,6,12,4.0,2,1,5,2,6,4,0.4
279,8,0,5,5,8,10,1,0,1024,6,12,4.0,1,1,6,4,3,5,0.4
280,13,0,8,3,13,11,1,0,1024,8,16,4.0,1,1,7,5,6,5,0.2857142857142857
281,12,0,4,2,12,6,1,0,1024,6,12,4.0,2,1,5,2,4,6,0.4
282,16,0,9,5,16,14,1,0,1024,10,20,4.0,3,1,6,3,5,12,0.2222222222222222
283,12,0,13,5,12,18,1,0,1024,10,20,4.0,2,1,6,10,4,6,0.2222222222222222
284,11,0,5,2,11,7,1,0,1024,6,12,4.0,1,1,6,5,3,4,0.4
